ID,Subject,Is_deleted,Add_time,Update_time,Deal_ID,Org_ID,Done,Marked_as_done_time,Due_Datetime,Duration_(Hours),Duration_(Minutes)
1,Call,False,2025-03-06 19:02:35,2025-04-15 12:15:43,0,,True,2025-04-15 12:15:43,2025-03-06 00:00:00,0.0,0
2,Email,False,2025-03-06 19:02:35,2025-03-06 19:02:35,0,,True,2025-03-01 21:02:35,2025-03-01 00:00:00,0.0,0
3,Call,False,2025-03-06 19:02:35,2025-03-06 19:02:35,0,,True,2025-03-02 21:02:35,2025-03-02 00:00:00,0.0,0
4,Call,False,2025-03-06 19:02:35,2025-04-15 12:15:38,0,,True,2025-04-15 12:15:37,2025-03-05 00:00:00,0.0,0
5,Meeting,False,2025-03-06 19:02:35,2025-03-06 19:02:35,0,,True,2025-02-26 21:02:35,2025-02-26 00:00:00,0.0,0
6,Call,False,2025-03-06 19:02:35,2025-03-06 19:02:35,0,,True,2025-02-24 21:02:35,2025-02-24 00:00:00,0.0,0
7,Call,False,2025-03-06 19:02:36,2025-04-15 12:15:56,0,,True,2025-04-15 12:15:56,2025-03-08 00:00:00,0.0,0
8,Meeting,False,2025-03-06 19:02:36,2025-03-06 19:02:36,0,,True,2025-02-21 21:02:35,2025-02-21 00:00:00,0.0,0
9,Meeting,False,2025-03-06 19:02:36,2025-03-06 19:02:36,0,,True,2025-02-15 21:02:35,2025-02-15 00:00:00,0.0,0
10,Call,False,2025-03-06 19:02:36,2025-04-15 12:15:59,0,,True,2025-04-15 12:15:59,2025-03-09 00:00:00,0.0,0
11,Email,False,2025-03-06 19:02:36,2025-03-06 19:02:36,0,,True,2025-02-26 21:02:35,2025-02-26 00:00:00,0.0,0
12,Meeting,False,2025-03-06 19:02:36,2025-03-06 19:02:36,0,,True,2025-02-20 21:02:35,2025-02-20 00:00:00,0.0,0
13,Email,False,2025-03-06 19:02:37,2025-04-09 21:11:11,0,,True,2025-04-09 21:11:10,2025-03-01 00:00:00,0.0,0
14,Call,False,2025-03-06 19:02:37,2025-03-06 19:02:37,0,,True,2025-03-01 21:02:35,2025-03-01 00:00:00,0.0,0
15,Email,False,2025-03-06 19:02:37,2025-03-06 19:02:37,0,,True,2025-02-26 21:02:35,2025-02-26 00:00:00,0.0,0
16,Meeting,False,2025-03-06 19:02:37,2025-03-06 19:02:37,0,,True,2025-02-14 21:02:35,2025-02-14 00:00:00,0.0,0
17,Call,False,2025-03-06 19:02:37,2025-04-15 12:15:46,0,,True,2025-04-15 12:15:46,2025-03-06 00:00:00,0.0,0
18,Email,False,2025-03-06 19:02:37,2025-03-06 19:02:37,0,,True,2025-02-24 21:02:35,2025-02-24 00:00:00,0.0,0
19,Meeting,False,2025-03-06 19:02:37,2025-03-06 19:02:37,0,,True,2025-02-16 21:02:35,2025-02-16 00:00:00,0.0,0
20,Call,False,2025-03-06 19:02:37,2025-03-06 19:02:37,0,,True,2025-02-14 21:02:35,2025-02-14 00:00:00,0.0,0
21,Call,False,2025-03-06 19:02:38,2025-04-15 12:15:53,0,,True,2025-04-15 12:15:53,2025-03-07 00:00:00,0.0,0
22,Call,False,2025-03-06 19:02:38,2025-03-06 19:02:38,0,,True,2025-02-23 21:02:35,2025-02-23 00:00:00,0.0,0
23,Call,False,2025-03-06 19:02:38,2025-03-06 19:02:38,0,,True,2025-02-20 21:02:35,2025-02-20 00:00:00,0.0,0
24,Meeting,False,2025-03-06 19:02:38,2025-03-06 19:02:38,0,,True,2025-02-24 21:02:35,2025-02-24 00:00:00,0.0,0
25,Call,False,2025-03-06 19:02:38,2025-03-06 19:02:38,0,,True,2025-02-19 21:02:35,2025-02-19 00:00:00,0.0,0
26,Call,False,2025-03-06 19:02:38,2025-04-15 12:15:40,0,,True,2025-04-15 12:15:40,2025-03-05 00:00:00,0.0,0
27,Meeting,False,2025-03-06 19:02:38,2025-03-06 19:02:38,0,,True,2025-02-24 21:02:35,2025-02-24 00:00:00,0.0,0
28,Meeting,False,2025-03-06 19:02:38,2025-03-06 19:02:38,0,,True,2025-02-24 21:02:35,2025-02-24 00:00:00,0.0,0
29,Call,False,2025-03-06 19:02:38,2025-03-06 19:02:38,0,,True,2025-02-18 21:02:35,2025-02-18 00:00:00,0.0,0
30,Call,False,2025-03-06 19:02:39,2025-04-15 12:14:52,0,,True,2025-04-15 12:14:52,2025-03-02 00:00:00,0.0,0
31,Meeting,False,2025-03-06 19:02:39,2025-03-06 19:02:39,0,,True,2025-02-20 21:02:35,2025-02-24 00:00:00,0.0,0
32,Meeting,False,2025-03-06 19:02:39,2025-03-06 19:02:39,0,,True,2025-02-20 21:02:35,2025-02-24 00:00:00,0.0,0
33,Call,False,2025-03-06 19:02:39,2025-03-06 19:02:39,0,,True,2025-02-08 21:02:35,2025-02-18 00:00:00,0.0,0
34,Email,False,2025-03-06 19:02:39,2025-04-15 12:15:49,0,,True,2025-04-15 12:15:49,2025-03-06 00:00:00,0.0,0
35,Email,False,2025-03-06 19:02:39,2025-03-06 19:02:39,0,,True,2025-03-03 21:02:35,2025-03-03 00:00:00,0.0,0
36,Meeting,False,2025-03-06 19:02:39,2025-03-06 19:02:39,0,,True,2025-02-20 21:02:35,2025-02-20 00:00:00,0.0,0
37,Call,False,2025-03-06 19:02:40,2025-04-15 12:15:11,0,,True,2025-04-15 12:15:11,2025-03-03 00:00:00,0.0,0
38,Call,False,2025-03-06 19:02:40,2025-03-06 19:02:40,0,,True,2025-02-17 21:02:35,2025-02-17 00:00:00,0.0,0
39,Email,False,2025-03-06 19:02:40,2025-03-06 19:02:40,0,,True,2025-02-14 21:02:35,2025-02-14 00:00:00,0.0,0
