ID_x,Title,Value,Org ID,Stage ID,Currency,Add time,Update time,Status,Lost reason,Close time,Pipeline ID,Won time,Lost time,Stage change time,Is deleted,Add_time,Close_time,Won_time,Lost_time,Add_Month,ID_y,Stage_Probability,Weighted_Value,Is_Open,Is_Won,Is_Lost,Add_Year,Add_Quarter,Add_Weekday
42,Booking Platform Lead,504.4,17.0,134,USD,2025-04-02 23:59:26,2025-08-27 16:56:58,won,,2025-04-18 12:44:06,19,2025-04-18 12:44:06,,2025-08-27 16:56:58,False,2025-04-02 23:59:26,2025-04-18 12:44:06,2025-04-18 12:44:06,,4,134,100,504.4,0,1,0,2025,2,2
47,Booking Platform Lead,98.69,17.0,134,USD,2025-04-06 23:43:46,2025-08-27 16:56:58,won,,2025-04-07 16:53:40,19,2025-04-07 16:53:40,,2025-08-27 16:56:58,False,2025-04-06 23:43:46,2025-04-07 16:53:40,2025-04-07 16:53:40,,4,134,100,98.69,0,1,0,2025,2,6
56,Booking Platform Lead,648.76,17.0,110,USD,2025-04-11 16:12:17,2025-08-27 16:57:30,lost,Lifestyle change,2025-04-21 14:30:25,19,,2025-04-21 14:30:25,2025-08-27 16:57:30,False,2025-04-11 16:12:17,2025-04-21 14:30:25,,2025-04-21 14:30:25,4,110,5,32.438,0,0,1,2025,2,4
57,Web Form Lead,0.0,17.0,111,USD,2025-04-11 18:21:47,2025-08-27 18:39:39,lost,Switched to competitor,2025-08-27 18:39:39,19,,2025-08-27 18:39:39,2025-08-27 16:56:31,False,2025-04-11 18:21:47,2025-08-27 18:39:39,,2025-08-27 18:39:39,4,111,15,0.0,0,0,1,2025,2,4
63,Web Form Lead,12608.97,17.0,134,USD,2025-04-15 12:53:17,2025-08-27 16:56:58,won,,2025-04-16 15:38:55,19,2025-04-16 15:38:55,,2025-08-27 16:56:58,False,2025-04-15 12:53:17,2025-04-16 15:38:55,2025-04-16 15:38:55,,4,134,100,12608.97,0,1,0,2025,2,1
67,Web Form Lead,1056.24,17.0,111,USD,2025-04-18 17:38:02,2025-08-27 18:40:28,lost,Switched to competitor,2025-08-27 18:40:28,19,,2025-08-27 18:40:28,2025-08-27 16:56:31,False,2025-04-18 17:38:02,2025-08-27 18:40:28,,2025-08-27 18:40:28,4,111,15,158.436,0,0,1,2025,2,4
69,Direct Lead,4977.09,11.0,134,USD,2025-04-21 13:48:47,2025-08-27 16:53:28,won,,2025-04-24 15:02:42,19,2025-04-24 15:02:42,,2025-08-27 16:53:28,False,2025-04-21 13:48:47,2025-04-24 15:02:42,2025-04-24 15:02:42,,4,134,100,4977.09,0,1,0,2025,2,0
71,Direct Lead,0.0,16.0,133,USD,2025-04-21 13:49:16,2025-08-27 16:22:07,lost,Chose a different marina,2025-05-16 16:36:26,20,,2025-05-16 16:36:26,2025-08-27 16:22:07,False,2025-04-21 13:49:16,2025-05-16 16:36:26,,2025-05-16 16:36:26,4,133,100,0.0,0,0,1,2025,2,0
72,Direct Lead,0.0,11.0,135,USD,2025-04-21 13:49:28,2025-08-27 16:54:02,lost,Storing at home,2025-04-23 19:25:44,19,,2025-04-23 19:25:44,2025-08-27 16:54:02,False,2025-04-21 13:49:28,2025-04-23 19:25:44,,2025-04-23 19:25:44,4,135,0,0.0,0,0,1,2025,2,0
75,Web Form Lead,0.0,11.0,135,USD,2025-04-21 21:11:57,2025-08-27 16:54:02,lost,Storing at home,2025-04-23 19:30:31,19,,2025-04-23 19:30:31,2025-08-27 16:54:02,False,2025-04-21 21:11:57,2025-04-23 19:30:31,,2025-04-23 19:30:31,4,135,0,0.0,0,0,1,2025,2,0
